primaryName,knownForTitles,averageRating
Henry Herbert,"Let 'em Have It, If You Could Only Cook, It Couldn't Have Happened (But It Did), Lady Luck, ",5.2
Stephen Herek,"The Three Musketeers, Mr. Holland's Opus, Bill & Ted's Excellent Adventure, Critters, ",6.509090909
Rowdy Herrington,"Striking Distance, The Stickup, Repo Man, Road House, ",6.55
Michael Herz,,4.5
John Herzfeld,"15 Minutes, Don King: Only in America, Reach Me, 2 Days in the Valley, ",4.7
Jon Hess,"The Lawless Land, Watchers, American History X, ",5.3
Gordon Hessler,"Scream and Scream Again, Cry of the Banshee, Murders in the Rue Morgue, The Girl in a Swing, ",6.8
Anthony Hickox,"Prince Valiant, Waxwork, Hellraiser III: Hell on Earth, Knife Edge, ",5.85
George W. Hill,"While the Devil Laughs, The Midnight Express, Zander the Great, Buttons, ",7.9
Gregory Hoblit,"Primal Fear, Hill Street Blues, NYPD Blue, Frequency, ",7.35
Mike Hodges,"Lake Placid, Halloween H20: 20 Years Later, Just Like Heaven, Sneakers, ",6.366666667
Ernst Hofbauer,"Rasputin - Orgien am Zarenhof, Case 33: Antwerp, The Three Superboys in the Snow, The Three Superguys, ",4.2
David Hogan,"Most Wanted, Batman Forever, Barb Wire, ",4.066666667
P.J. Hogan,"Peter Pan, Muriel's Wedding, My Best Friend's Wedding, ",6.3
Savage Steve Holland,"Better Off Dead..., One Crazy Summer, ",7.1
Todd Holland,"Grandma's Boy, You Don't Mess with the Zohan, The Waterboy, The Longest Yard, ",6.1
Roger Holzberg,"Radioactive Dreams, Midnight Crossing, The Magic 7, Black Moon Rising, ",4.6
Elliott Hong,"The Retrievers, They Call Me Bruce?, The Rose of Sharon, ",5.7
Kevin Hooks,"Passenger 57, Prison Break, Innerspace, ",5.5
Lance Hool,"One Man's Hero, Man on Fire, Club Dread, Missing in Action, ",5.3
Stephen Hopkins,,5.671428571
Jeffrey Hornaday,"Tango & Cash, Romancing the Stone, Carlito's Way, Dick Tracy, ",5.3
John Hough,"Something to Believe In, The Avengers, Fox Mystery Theater, ",6.12
Danny Huston,"The Aviator, The Constant Gardener, 21 Grams, X-Men Origins: Wolverine, ",5.9
Reginald Hudlin,"House Party, Joe's Apartment, ",5.95
Hugh Hudson,"Chariots of Fire, The Tortoise and the Hare, I Dreamed of Africa, Greystoke: The Legend of Tarzan, Lord of the Apes, ",6
Albert Hughes,"Hue and Cry, ",7.033333333
Allen Hughes,"Menace II Society, From Hell, Dead Presidents, ",7.033333333
Howard Hughes,"Angels with Broken Wings, King of the Texas Rangers, Spy Smasher, Pardon My Stripes, ",7.4
Ken Hughes,"Night School, Chitty Chitty Bang Bang, Casino Royale, The Trials of Oscar Wilde, ",5.2
Pixote Hunt,"Fantasia 2000, The Black Cauldron, The Emperor's New Groove, The Pagemaster, ",6.1
Peter R. Hunt,"Studentinnen-Report, ",5.966666667
Rolando Hudson,"Please Give, The Life, ",5.4
Brian G. Hutton,"Wild Seed, Night Watch, Where Eagles Dare, Kelly's Heroes, ",7
Willard Huyck,"American Graffiti, Howard the Duck, Indiana Jones and the Temple of Doom, French Postcards, ",4.4
Nicholas Hytner,"The Crucible, The Madness of King George, The History Boys, ",6
Eloy de la Iglesia,"Bulgarian Lovers, The Priest, Colegas, El diputado, ",6.6
Franco Indovina,"Catch As Catch Can, Menage Italian Style, The Voyeur, I tre volti, ",5.5
John Irvin,"Raw Deal, Widows' Peak, Champions, ",5.925
James Isaac,"Virtuosity, Enemy Mine, Jason X, ",5
Neal Israel,"Police Academy, Real Genius, Bachelor Party, Look Who's Talking Too, ",5.7
James Ivory,"A Room with a View, Howards End, The Remains of the Day, ",6.8
Mick Jackson,"Volcano, The Bodyguard, L.A. Story, ",6
Wilfred Jackson,"Snow White and the Seven Dwarfs, Cinderella, Alice in Wonderland, Peter Pan, ",7.364285714
Sarah Jacobson,"Mary Jane's Not a Virgin Anymore, Independent's Day, Making of 'Ladies and Gentlemen, the Fabulous Stains', I Was a Teenage Serial Killer, ",5.7
Just Jaeckin,"Lady Chatterley's Lover, Girls, The Perils of Gwendoline in the Land of the Yik Yak, The Last Romantic Lover, ",5.2
Steve James,"Captain Kronos - Vampire Hunter, Please Don't Eat the Babies, Mr. Smith, ",7.55
Jerry Jameson,"Mod Squad, The Six Million Dollar Man, Raise the Titanic, ",5.7
Annabel Jankel,"D.O.A., Super Mario Bros., Skellig: The Owl Man, ",5.05
Kevin Jarre,"Rambo: First Blood Part II, The Mummy, Glory, Tombstone, ",7.8
Charles Jarrott,"The Secret Life of Algernon, A Promise Kept: The Oksana Baiul Story, Anne of the Thousand Days, Encounter, ",5.7
Norman Jewison,"Moonstruck, Fiddler on the Roof, In the Heat of the Night, The Hurricane, ",7.283333333
Phil Joanou,"Three O'Clock High, Final Analysis, U2: Rattle and Hum, State of Grace, ",6.983333333
Roland JoffÃ©,"The Mission, The Scarlet Letter, The Killing Fields, ",5.3
Alan Johnson,,5.8
Mike Johnson,,7.3
Kenneth Johnson,"High School High, ",4.733333333
Lamont Johnson,"How Come Nobody's on Our Side?, Ze wang, Freedom, ",5.5
Patrick Read Johnson,"DragonHeart, 5/25/1977, Baby's Day Out, Spaced Invaders, ",5.566666667
Tim Johnson,"George, ",6.5
Amy Holden Jones,"Mystic Pizza, ",5.35
F. Richard Jones,"Flying Pat, The Extra Girl, Someone to Love, The Gaucho, ",5.9
Mark Jones,,4.8
Ate de Jong,"Fogbound, Drop Dead Fred, ",5.9
Nathan Juran,"How Green Was My Valley, The 7th Voyage of Sinbad, Harvey, The Brain from Planet Arous, ",5.1
Lou Kachivas,"He-Man and She-Ra: The Secret of the Sword, He-Man and the Masters of the Universe, BraveStarr, Mighty Mouse in the Great Space Chase, ",7.2
Jeremy Kagan,"Chicago Hope, Conspiracy: The Trial of the Chicago 8, The Chosen, The ACLU Freedom Files, ",5.95
Tom Kalin,"Swoon, Savage Grace, I Shot Andy Warhol, Go Fish, ",6.7
Steven Kampmann,"Multiplicity, WKRP in Cincinnati, Stealing Home, Back to School, ",6.7
Jeff Kanew,"Eddie Macon's Run, Natural Enemies, Revenge of the Nerds, Ordinary People, ",5.9
Marek Kanievska,"Muck and Brass, A Different Loyalty, Another Country, Less Than Zero, ",6.4
Jonathan Kaplan,"Jake, Empty Places, ",5.4875
Michael Karbelnikoff,"F.T.W., Mobsters, Red Shoe Diaries, ",6
Phil Karlson,"The Silencers, Hell to Eternity, Westinghouse Desilu Playhouse, The Scarface Mob, ",5.866666667
Eric Karson,"Opposing Force, Lionheart, Angel Town, The Octagon, ",5.05
Jake Kasdan,"The TV Set, Walk Hard: The Dewey Cox Story, Zero Effect, ",6.9
Lloyd Kaufman,"The Toxic Avenger, Tromeo and Juliet, Troma's War, ",4.5
Philip Kaufman,"The Unbearable Lightness of Being, Invasion of the Body Snatchers, The Right Stuff, Raiders of the Lost Ark, ",7.114285714
Tony Kaye,"8 Â½ Women, ",8.5
William Keighley,"The Master of Ballantrae, Torrid Zone, The Adventures of Robin Hood, Bullets or Ballots, ",7.9
John Patrick Kelley,"The Locusts, ",6.2
David Kellogg,"Playboy: Farmer's Daughters, Playboy: Wet & Wild, Inspector Gadget, Cool as Ice, ",2.9
Ray Kellogg,"The Seven Year Itch, Cleopatra, Gentlemen Prefer Blondes, Tora! Tora! Tora!, ",5.8
Rory Kelly,"Some Girl, Sleep with Me, ",5.6
Burt Kennedy,"The Trouble with Spies, The War Wagon, Young Billy Young, Combat!, ",6.9
Elly Kenner,"The Black Room, ",4.8
James V. Kern,"Two Tickets to Broadway, Never Say Goodbye, Lum and Abner Abroad, The Horn Blows at Midnight, ",5.9
Irvin Kershner,"Never Say Never Again, RoboCop 2, On Deadly Ground, Star Wars: Episode V - The Empire Strikes Back, ",7.490909091
Alek Keshishian,"Madonna: Truth or Dare, With Honors, Love and Other Disasters, ",6.4
Stephen Kessler,"Vegas Vacation, The Independent, Birch Street Gym, ",6
Beeban Kidron,"Bridget Jones: The Edge of Reason, Oranges Are Not the Only Fruit, To Wong Foo Thanks for Everything, Julie Newmar, ",6.6
Fritz Kiersch,"Tuff Turf, Surveillance, Into the Sun, Children of the Corn, ",5.6
Henry King,"Bat*21, ",6.86
Zalman King,"In God's Hands, Wild Orchid, 9Â½ Weeks, Galaxy of Terror, ",4.266666667
Jack Kinney,"Pinocchio, Dumbo, The Magical World of Disney, Popeye the Sailor, ",7.26
Boyd Kirkland,"X-Men: Evolution, Batman & Mr. Freeze: SubZero, Batman: Mask of the Phantasm, Wolverine and the X-Men, ",7.8
R.J. Kizer,"Planet of the Apes, ",6.2
Randal Kleiser,"The Blue Lagoon, Flight of the Navigator, Grease, Honey, I Blew Up the Kid, ",5.75
LeÃ³n Klimovsky,"The Marihuana Story, Leap to Fame, La pÃ­cara molinera, La paz empieza nunca, ",5.8
Steve Kloves,"Flesh and Bone, Wonder Boys, The Fabulous Baker Boys, ",6.2
James Komack,"Welcome Back, Kotter, The Courtship of Eddie's Father, Mr. T and Tina, Chico and the Man, ",4.8
Andrey Konchalovskiy,"Dyadya Vanya, House of Fools, ",6.666666667
Barbara Kopple,"Harlan County U.S.A., American Dream, Shut Up & Sing, ",7.9
Henry Koster,"Harvey, Flower Drum Song, Three Smart Girls, The Bishop's Wife, ",6.45
Ted Kotcheff,"Play for Today, The Apprenticeship of Duddy Kravitz, First Blood, Weekend at Bernie's, ",6.622222222
Jim Kouf,"Taxi, Rush Hour, National Treasure, ",6.5
Lisa Krueger,"Benny & Joon, Down by Law, Manny & Lo, Committed, ",6.6
Andrew J. Kuehn,"D.O.A., Flush, The Prince and the Nature Girl, Terror in the Aisles, ",6.5
Dan Kuenster,"The Secret of NIMH, All Dogs Go to Heaven, The Land Before Time, An American Tail, ",6.566666667
Robert Kurtzman,"From Dusk Till Dawn, ",5.8
Fran Rubel Kuzui,"Angel, Last Life in the Universe, Orgazmo, Buffy the Vampire Slayer, ",6.15
Corey Yuen,"Red Cliff, The Transporter, Righting Wrongs, So Close, ",6.266666667
Ken Kwapis,,5.7
John Lafia,"Child's Play, 10.5: Apocalypse, Man's Best Friend, The Blue Iguana, ",5.5
Richard LaGravenese,"Freedom Writers, The Fisher King, ",6.5
Ngai Choi Lam,"Riki-Oh: The Story of Ricky, Bu ye tian, Peacock King, An qu, ",5.3
Ringo Lam,"Full Alert, Victim, City on Fire, ",5.725
Marsh Lamore,"Kim Possible, Darkwing Duck, Mighty Mouse in the Great Space Chase, He-Man and She-Ra: The Secret of the Sword, ",7.2
Andrew Lane,"Mortal Passions, Valley Girl, Jake Speed, Lonely Hearts, ",5.4
David Lane,"The Ballad of the Sad Cafe, Mr. & Mrs. Bridge, ",7
Walter Lang,"Das LustschloÃŸ im Spessart, ",7.4
JosÃ© RamÃ³n Larraz,"Deviation, Whirlpool, Symptoms, The Coming of Sin, ",4.7
Stig Lasseby,"Peter-No-Tail, Ur kÃ¤rlekens sprÃ¥k, Agaton Sax and the Bykoebing Village Festival, ",7
Sze Yu Lau,"Xin fei hu wai chuan, My Neighbours Are Phantoms!, The Young Vagabond, Look Out, Officer!, ",5.3
Michael Laughlin,"Strange Invaders, Town & Country, My Letter to George, Strange Behavior, ",5.5
Dale Launer,"Love Potion No. 9, Dirty Rotten Scoundrels, My Cousin Vinny, ",5.7
Georges Lautner,"The Professional, La maison assassinÃ©e, Galia, Monsieur Gangster, ",4.6
Wilford Leach,"The Wedding Party, Coriolanus, The Pirates of Penzance, The Pirates of Penzance, ",4.9
J. Lee Thompson,"The Guns of Navarone, Conquest of the Planet of the Apes, Woman in a Dressing Gown, Battle for the Planet of the Apes, ",6.05
Michael Lehmann,"Die Cleveren, Typisch Mann!, ",6.288888889
Warren Leight,"Law & Order: Special Victims Unit, In Treatment, The Night We Never Met, Law & Order: Criminal Intent, ",6
Larry Leker,"The Secret of NIMH, Aladdin, The Lion King, Spirit: Stallion of the Cimarron, ",5.5
David Leland,"Burma Diary, ",5.8
Malcolm Leo,"More of 'The Best of the Hollywood Palace', The Best of 'The Hollywood Palace', The Beach Boys: An American Band, This Is Elvis, ",6.9
Brett Leonard,"The Lawnmower Man, Hideaway, Virtuosity, ",5.433333333
John R. Leonetti,"Mortal Kombat: Annihilation, ",3.7
Mervyn LeRoy,"Mister Roberts, Gypsy, Quo Vadis, The Wizard of Oz, ",7.05
Mark L. Lester,"Firestarter, White Rush, Class of 1984, Commando, ",6.1
Herschell Gordon Lewis,"Monster a-Go Go, Blast-Off Girls, How to Make a Doll, This Stuff'll Kill Ya!, ",5.1
Richard Lester,"The Three Musketeers, Superman III, The Bed Sitting Room, A Hard Day's Night, ",5.9
Sheldon Lettich,"Lionheart, Double Impact, Rambo III, ",6.085714286
Brian Levant,"Jingle All the Way, The Flintstones, The New Leave It to Beaver, ",5.32
Jeremy Leven,"The Legend of Bagger Vance, Don Juan DeMarco, Real Steel, The Notebook, ",6.7
Henry Levin,"Journey to the Center of the Earth, Murderers' Row, April Love, The Fighting Guardsman, ",7
Ralph Levy,"Shower of Stars, Playhouse 90, The Alan Young Show, The Jack Benny Program, ",6
Shuki Levy,"Turbo: A Power Rangers Movie, Inspector Gadget, ",3.6
Joseph H. Lewis,"Bombs Over Burma, My Name Is Julia Ross, The Spy Ring, Gun Crazy, ",6.6
Mark Lewis,,3.8
Robert Lieberman,"Fire in the Sky, ",6.025
Kevin Lima,"Enchanted, Tarzan, A Goofy Movie, Aladdin, ",7.175
Doug Liman,"The Bourne Identity, Fair Game, Swingers, ",7.2
Art Linson,"The Untouchables, Into the Wild, The Edge, Fight Club, ",6.4
Steven Lisberger,"TRON, Hot Pursuit, Animalympics, ",6.466666667
Dwight H. Little,"Murder at 1600, Anacondas: The Hunt for the Blood Orchid, Broken Arrow, Tekken, ",6.042857143
Jennie Livingston,"Paris Is Burning, Through the Ice, Who's the Top?, ",8.2
Luis Llosa,"Fire on the Amazon, The Specialist, Crime Zone, Anaconda, ",5.5
Frank Lloyd,,6.8
Sondra Locke,"The Outlaw Josey Wales, Every Which Way but Loose, Bronco Billy, Sudden Impact, ",5.6
Bob Logan,"Hot Ticket, ",4.8
Joshua Logan,"Fanny, Picnic, Sayonara, Mister Roberts, ",6.7
Roy London,"Tiger Warsaw, Diary of a Hitman, Jake Speed, The Larry Sanders Show, ",5.4
Robert Longo,"Tales from the Crypt, Johnny Mnemonic, Arena Brains, ",5.7
Peter Lord,"Stingers, Special Squad, Next of Kin, Power Without Glory, ",7
Rolf Losansky,"Hans im GlÃ¼ck, ...verdammt, ich bin erwachsen, Der Revolver des Korporals, Abschiedsdisko, ",7.2
John Lounsbery,"The Many Adventures of Winnie the Pooh, Lady and the Tramp, The Rescuers, Mary Poppins, ",6.9
EugÃ¨ne LouriÃ©,"The Beast from 20,000 Fathoms, Gorgo, La Grande Illusion, The Giant Behemoth, ",6.7
Dick Lowry,"First Degree, To Catch a Killer, Watchtower, ",3.5
Ernst Lubitsch,"Ninotchka, To Be or Not to Be, The Love Parade, The Patriot, ",7.9
Baz Luhrmann,"Moulin Rouge!, Australia, Romeo + Juliet, ",6.7
Hamilton Luske,"Peter Pan, Cinderella, Mary Poppins, Pinocchio, ",7.31
Dana Lustig,"Confessions of a Sociopathic Social Climber, Brick, ",4.9
William Lustig,"Hot Honey, Darkman, Army of Darkness, ",6.6
Jennifer Lynch,,4.7
Jonathan Lynn,"Clue, Nuns on the Run, My Cousin Vinny, Yes Minister, ",6.88
Miguel Madrid,"Killing of the Dolls, Del amor y de la muerte, The Butcher of Binbrook, Bacanal en directo, ",5.4
Albert Magnoli,"Purple Rain, Dark Planet, Street Knight, ",6.2
Norman Mailer,"Beyond the Law, Tough Guys Don't Dance, Wild 90, Maidstone, ",4.9
Steven Maler,"The Autumn Heart, ",6.5
Bruce Malmuth,"Nighthawks, The Karate Kid, Pentathlon, Hard to Kill, ",6.2
Darren Moloney,"Carnosaur, Roads to Riches, Andromina: The Pleasure Planet, ",3.6
Rouben Mamoulian,"The Gay Desperado, Becky Sharp, Applause, Dr. Jekyll and Mr. Hyde, ",7.7
Milcho Manchevski,"Before the Rain, Dust, Shadows, ",8
Robert Mandel,"Lost, ABC Afterschool Specials, Big Shots, The Substitute, ",6.525
Tom Mankiewicz,"Diamonds Are Forever, Ladyhawke, Live and Let Die, The Man with the Golden Gun, ",5.933333333
Anthony Mann,"Young Nurses in Love, ",7.033333333
Delbert Mann,"Marty, Middle of the Night, Desire Under the Elms, The Dark at the Top of the Stairs, ",7.533333333
Farhad Mann,"Max Headroom, ",2.5
Peter Manoogian,"Eliminators, The Howling, The Dungeonmaster, Arena, ",5.5
Joe Mantello,"Love! Valour! Compassion!, Cookie, ",7
Adam Marcus,"Jason Goes to Hell: The Final Friday, ",4.3
Edwin L. Marin,"Two Tickets to London, Invisible Agent, Paris Calling, The Sweetheart of Sigma Chi, ",6.1
Serban Marinescu,"The Earth's Most Beloved Son, Ticalosii, Cei care platesc cu viata, ",8.5
Peter Markle,"Hot Dog... The Movie, Bat*21, Flight 93, Youngblood, ",6.5
Richard Marquand,"Jagged Edge, Nowhere to Run, Star Wars: Episode VI - Return of the Jedi, ",7.9875
Frank Marshall,"Murder Blues, ",6.75
George Marshall,"Indiana Jones and the Last Crusade, Indiana Jones and the Temple of Doom, Entrapment, The Fifth Element, ",6.6
Darnell Martin,"I Like It Like That, Do the Right Thing, Law & Order: Criminal Intent, ",6.9
Lionel C. Martin,"How to Be a Player, Longshot, R. Kelly: The R. in R&B - The Video Collection, ",5.3
Andrew Marton,"The Longest Day, Ben-Hur, The Day of the Jackal, Kelly's Heroes, ",6.4
Mike Marvin,"Sunstorm, The Wraith, Wishman, Better Off Dead..., ",6
Peter Masterson,"The Forgotten, Keeping the Faith, Beautiful Girls, The Devil's Advocate, ",6.2
Toshio Masuda,"Mahoromatic, Excel Saga, Naruto, Bluer Than Indigo, ",7.5
Burny Mattinson,"The Lion King, Aladdin, The Great Mouse Detective, Beauty and the Beast, ",7.2
Arne Mattsson,"FÃ¶r min heta ungdoms skull, KÃ¤rlekens brÃ¶d, The People of Hemso, One Summer of Happiness, ",5.3
Ron Maxwell,"Gettysburg, Gods and Generals, In the Land of the Poets, ",7.6
Elaine May,"Primary Colors, A New Leaf, Small Time Crooks, Ishtar, ",4.4
Les Mayfield,"Blue Streak, Hearts of Darkness: A Filmmaker's Apocalypse, Flubber, Encino Man, ",5.725
Archie Mayo,"Svengali, Vengeance, Crash Dive, The Petrified Forest, ",7.3
Jim McBride,"Lara Croft: Tomb Raider, John Carter, Die Another Day, ",5.9
Tim McCanlies,"North Shore, Dancer, Texas Pop. 81, Secondhand Lions, The Iron Giant, ",6.6
Leo McCarey,"An Affair to Remember, The Awful Truth, Love Affair, Going My Way, ",7.233333333
Vincent McEveety,"Firecreek, The Untouchables, Star Trek, ",6.3
Scott McGehee,"Suture, The Deep End, ",6.6
Joseph McGrath,"Restoration, ",5.2
Doug McHenry,"New Jack City, Jason's Lyric, The Brothers, ",6.6
Dee McLachlan,"Running Wild, The Jammed, ",4.5
Andrew V. McLaglen,"Hellfighters, Fools' Parade, The Wild Geese, McLintock!, ",6.4
Tom McLoughlin,"She-Wolf of London, The Unsaid, Friday the 13th Part VI: Jason Lives, They Came from Outer Space, ",6
Tom McNamara,"Outside Ozona, DVD Discoveries, ",7.3
John McNaughton,"Henry: Portrait of a Serial Killer, Wild Things, Mad Dog and Glory, ",6.425
Peter Medak,"Species II, The Krays, The Ruling Class, The Changeling, ",5.1
Leslie Megahey,"Diary for a Tale, Omnibus, The Advocate, ",6.7
Alan Mehrez,"Sinbad: The Battle of the Dark Knights, Bloodsport 2, Bloodsport: The Dark Kumite, The Good Life, ",4.8
Jean-Pierre Melville,"Les Enfants Terribles, Breathless, LÃ©on Morin, Priest, Le SamouraÃ¯, ",8.12
RamÃ³n MenÃ©ndez,"Money for Nothing, Stand and Deliver, Tortilla Soup, Perversions of Science, ",6.55
William Cameron Menzies,"Tempest, Gone with the Wind, Invaders from Mars, The Dove, ",6.8
Kieth Merrill,"The Great American Cowboy, Amazon, Windwalker, ",6.9
Alan Metter,"Cold Dog Soup, Girls Just Want to Have Fun, Police Academy: Mission to Moscow, Back to School, ",4.35
Nicholas Meyer,"Time After Time, Star Trek IV: The Voyage Home, Star Trek II: The Wrath of Khan, Star Trek VI: The Undiscovered Country, ",6.914285714
Richard Michaels,"Bed of Violence, Turn on to Love, ",5.5
David Michener,"The Fox and the Hound, Robin Hood, The Great Mouse Detective, The Rescuers, ",7.2
Lewis Milestone,"The Strange Love of Martha Ivers, Two Arabian Knights, All Quiet on the Western Front, Mutiny on the Bounty, ",7.3
John Milius,"Apocalypse Now, Conan the Barbarian, Rome, Jeremiah Johnson, ",6.6
Stuart Millar,"Birdman of Alcatraz, Little Big Man, When the Legends Die, Dream Breakers, ",6.9
Harvey Miller,"The Price Woman Pays, ",4.6
Kurt Miller,"Snowriders, Fifty, ",7.7
Michael Miller,,5.85
Randall Miller,"Marilyn Hotchkiss' Ballroom Dancing & Charm School, Bottle Shock, Houseguest, ",6
Robert Ellis Miller,"Alcoa Premiere, The Buttercup Chain, Breaking Point, The Twilight Zone, ",5.6
Steve Miner,"Friday the 13th Part 2, Warlock, Halloween H20: 20 Years Later, The Wonder Years, ",5.826315789
Worthington Miner,"Let's Try Again, Studio One in Hollywood, Medic, Play of the Week, ",4.9
Rob Minkoff,"Oliver & Company, Stuart Little 2, The Lion King, The Forbidden Kingdom, ",8.5
Vincente Minnelli,"An American in Paris, Ziegfeld Follies, The Bad and the Beautiful, Gigi, ",7.1
David Mirkin,"Romy and Michele's High School Reunion, Get a Life, Heartbreakers, The Simpsons, ",6.2
Hayao Miyazaki,"Princess Mononoke, My Neighbor Totoro, Howl's Moving Castle, Spirited Away, ",8.125
Ã‰douard Molinaro,"My Uncle Benjamin, The Birdcage, La Cage aux Folles, Beaumarchais the Scoundrel, ",6.8
Mario Monicelli,"The Organizer, Speriamo che sia femmina, Big Deal on Madonna Street, The Great War, ",7.9
Michael Moore,,6
Tom Moore,"Ladies Be Seated, Majority Rules, ",7.6
Jocelyn Moorhouse,"Peter Pan, Proof, Muriel's Wedding, ",6.3
Andrew Morahan,"Murder in Mind, Highlander: The Final Dimension, ",4.5
Larry Morey,"Snow White and the Seven Dwarfs, Bambi, ",7.6
Rocky Morton,"Max Headroom, Super Mario Bros., D.O.A., The M Word, ",5.05
Gilbert Moses,"Law & Order, ABC Afterschool Specials, Roots, Willie Dynamite, ",5.4
Jonathan Mostow,"Surrogates, Terminator 3: Rise of the Machines, U-571, Breakdown, ",6.9
Allan Moyle,"New Waterford Girl, Empire Records, The Rubber Gun, Pump Up the Volume, ",5.1
Eric Mueller,"Drop Dead Fred, Boys Life 4: Four Play, World and Time Enough, ",5.5
Desh Mukherjee,"Aatank, Immaan Dharam, Gunga Jumna, Mera Saaya, ",5.6
Russell Mulcahy,"Highlander, Resident Evil: Extinction, Highlander II: The Quickening, ",5.025
Robert Mulligan,"To Kill a Mockingbird, The Nickel Ride, The Other, Summer of '42, ",7.633333333
Lance Mungia,"A Garden for Rio, Six-String Samurai, The Crow: Wicked Prayer, ",6.7
Cynthia Munroe,"The Wedding Party, ",4.9
Jimmy T. Murakami,"When the Wind Blows, Breath, Heavy Metal, Battle Beyond the Stars, ",5.5
Geoff Murphy,"The Quiet Earth, Goodbye Pork Pie, Utu, Dante's Peak, ",5.5
John Musker,"Aladdin, The Little Mermaid, Hercules, ",7.483333333
Floyd Mutrux,"Aloha Bobby and Rose, Blood In, Blood Out, Dusty and Sweets McGee, Dick Tracy, ",6.533333333
Ray MÃ¼ller,"Notlandung in der Krokodilsbucht, Quo Vadis, Der unsichtbare Freund, The Wonderful, Horrible Life of Leni Riefenstahl, ",7.9
Mira Nair,"Monsoon Wedding, Salaam Bombay!, Mississippi Masala, ",6
Vincenzo Natali,"Cypher, Paris, je t'aime, Cube, ",7.2
Gregory Nava,"Bordertown, American Family, My Family, The Confessions of Amans, ",6.566666667
Ronald Neame,"Escape from Zahrain, Brief Encounter, Great Expectations, Golden Salamander, ",7.1
Hal Needham,"Stroker Ace, Smokey and the Bandit, Megaforce, Cannonball Run II, ",6.288888889
Jean Negulesco,"Johnny Belinda, Boy on a Dolphin, Three Coins in the Fountain, Titanic, ",6.6
Ralph Nelson,"A Man Called Sloane, The Return of Frank Cannon, The Runaways, Barnaby Jones, ",7
Gary Nelson,"Early Edition, The Black Hole, Get Smart, Washington: Behind Closed Doors, ",6.228571429
Kurt Neumann,"Strange Journey, The Hitler Gang, ",7.1
Phil Nibbelink,"The Black Cauldron, Casper, The Fox and the Hound, The Great Mouse Detective, ",6.3
Fred Niblo,"The Enemy, The Red Lily, The Three Musketeers, ",7.633333333
Andrew Niccol,"Gattaca, The Truman Show, ",7.8
William Nigh,"Born Rich, School Days, The Lightning Flyer, Notorious Gallagher; or, His Great Triumph, ",6
Rob Nilsson,"Scheme C6, Heat and Sunlight, Northern Lights, Chalk, ",7.1
Stephen Norrington,"The League of Extraordinary Gentlemen, The Last Minute, Blade, Death Machine, ",7.1
Aaron Norris,"Walker, Texas Ranger, Ant-Man, Top Dog, ",4.811111111
Bill Norton,"Tour of Duty, Convoy, Buffy the Vampire Slayer, Cisco Pike, ",5.3
Noel Nosseck,"Youngblood, Las Vegas Lady, Best Friends, Hunter, ",5.5
Jonathan Nossiter,"Signs & Wonders, Sunday, Fatal Attraction, ",6.9
Thierry Notz,"Superboy, Watchers II, The Terror Within, Fortunes of War, ",4.9
Phillip Noyce,"The Quiet American, The Giver, Rabbit-Proof Fence, Newsfront, ",6.3
Victor Nunez,"Coastlines, Ulee's Gold, Ruby in Paradise, Gal Young Un, ",7
Ron Nyswaner,"The Painted Veil, Philadelphia, ",5.8
Dan O'Bannon,"Aliens, Total Recall, Alien, Dark Star, ",7.3
Pat O'Connor,"Fletch, Hair, Annie Hall, American Gigolo, ",6.4
Steve Oedekerk,"Kung Pow: Enter the Fist, Barnyard, Bruce Almighty, Ace Ventura: When Nature Calls, ",6.4
George Ogilvie,"Bodyline, Mad Max Beyond Thunderdome, Blue Heelers, ",6.3
Stuart Orme,"The Wolves of Willoughby Chase, William and Mary, The Waiting Time, ",5.9
James Orr,"Mr. Destiny, Sister Act 2: Back in the Habit, Father of the Bride, 3 Men and a Baby, ",6.4
Kenny Ortega,"Hull High, XIX Winter Olympics Opening Ceremony, High School Musical 3: Senior Year, ",6.8
Mamoru Oshii,"Ghost in the Shell, Ghost in the Shell 2: Innocence, Avalon, ",8
Gerd Oswald,"The Outer Limits, Brainwashed, Agent for H.A.R.M., 80 Steps to Jonah, ",7.8
Dominique Othenin-Girard,"After Darkness, Der Todestunnel - Nur die Wahrheit zÃ¤hlt, Halloween 5: The Revenge of Michael Myers, Beyond Desire, ",5.2
Mariano Ozores,"Cabaret, The Dancer and the Worker, I Hate My Body, Novela, ",4.6
Jerry Paris,"The Dick Van Dyke Show, Happy Days, Police Academy 2: Their First Assignment, Police Academy 3: Back in Training, ",5.64
Dean Parisot,"Fun with Dick and Jane, Galaxy Quest, ",5.1
Nick Park,"The Wrong Trousers, Chicken Run, Wallace & Gromit: The Curse of the Were-Rabbit, A Grand Day Out, ",7
Gordon Parks,"Shaft's Big Score!, The Learning Tree, Malcolm X, Shaft, ",6.266666667
James D. Parriott,"Forever Knight, Misfits of Science, Ugly Betty, Grey's Anatomy, ",5.6
Robert Parrish,"The Purple Plain, Body and Soul, Casino Royale, All the King's Men, ",5.2
John Pasquin,"Home Improvement, Miss Congeniality 2: Armed & Fabulous, The Santa Clause, L.A. Law, ",6.4
Michael Pate,"Hondo, Matlock Police, Julius Caesar, Tim, ",6.4
Stuart Paton,"South at Six, ",6.2
Robert Patton-Spruill,"Squeeze, Turntable, Dark Assassin, ",6.2
